,center_id,center_name,address,zip_code
0,356,오스타어린이집,"강원도 춘천시 동내면 춘천순환로 93, 105동101호(성우오스타)",24401
1,31357,사랑어린이집,경상남도 사천시 곤양면 성내2길 7,52504
2,31899,앙주메트로 어린이집,전라북도 군산시 구암3.1로 30,54038
3,32098,안성어린이집,부산광역시 동래구 명안로77번길 41-5,47772
4,35401,더샵아이림,경기도 화성시 경기도 화성시 동탄대로 시범길19 동탄역시범더샵센트럴시티,18477
5,39312,2017년 새누리유치원,대전광역시 유성구 노은로410번길 103-16,34094
6,40981,기쁜어린이집,서울특별시 서초구 바우뫼로9길 22-8,06762
7,41024,가온누리어린이집,인천광역시 미추홀구 승학길77-1,22231
8,49057,예은유치원,서울특별시 강서구 까치산로4길 101-5,07725
9,51377,삼성래미안어린이집,대구광역시 달서구 상원로 143,42779
10,52118,G.L.I어학원,세종특별자치시 세종특별자치시 달빛1로111 (아름동),30100
11,54138,피노키오어린이집,서울특별시 마포구 월드컵로15길59,04013
12,55265,봉명어린이집,대구광역시 남구 봉덕로19길 29-1,42438
13,55928,행복어린이집,경상남도 창원시 의창구 금강로379번길 49-6,51184
14,56427,동원로얄어린이집,경기도 화성시 동탄첨단산업2로 14  관리동,18467
15,62128,사랑해 어린이집,충청북도 청주시 상당구 꽃산동로 41 금천동 금천뉴타운아파트 106동 106호,28731
16,67728,한샘어린이집,서울특별시 마포구 성암로 179,03929
17,71795,엘피아노스토리,광주광역시 남구 광주광역시 남구 봉선중앙로68 3층,61675
18,74821,덕일어린이집,대구광역시 수성구 청호로92길 26,42083
19,76490,유치원,경기도 남양주시 다산지금로146번길 11,12284
20,81263,조남초등학교병설유치원,경기도 시흥시 목감둘레로 229-9,14986
21,82776,아이세상유치원,충청남도 아산시 온천대로 1105-17,31531
22,3567,가야유치원,강원도 삼척시 척주로 58,25929
23,14306,신사임당어린이집,서울특별시 양천구 목동서로 400  1009동101호,08090
24,14505,현대제철&IMC어린이집,경상북도 포항시 삼호로 321번길 5번지,37610
25,33476,서천어린이집,충청남도 서천군  서천읍 사곡길 20-13,33638
26,37364,사랑별어린이집,인천광역시 계양구 효서로341번길 5,21124
27,38249,별꽃어린이집,경상남도 창원시 의창구 도계로17번길 11,51164
28,40733,구립 신금호자이어린이집,서울특별시 성동구 금호동2가 금호로 173,04722
29,53582,하솜어린이집,경기도 시흥시 인선길 77 241동102호,15002
30,54588,호평라인어린이집,경기도 남양주시 천마산로 65-2 라인그린아파트 101동 107호,12141
31,54810,동원어린이집,부산광역시 북구 덕천로234번길 7,46604
32,57384,하담어린이집,경기도 광명시 가림일로 79  도덕파크 109동 102호,14255
